DUID,Region,Participant,Station Name,Technology Type - Descriptor
PPCCGT,SA1,Pelican Point Power Limited,Pelican Point Power Station,Combined Cycle Gas Turbine (CCGT)
HLMSEW01,VIC1,Progressive Green Pty Ltd,South East Water - Halllam Hydro Plant,Hydro - Gravity
WONWP,VIC1,Progressive Green Pty Ltd,Wonthaggi Wind Farm,Wind - Onshore
WAUBRAWF,VIC1,Pyrenees Wind Energy Development Pty Ltd,Waubra Wind Farm,Wind - Onshore
CPSA,QLD1,QGC Sales Qld Pty Ltd,Condamine Power Station A,Combined Cycle Gas Turbine (CCGT)
RPCG,QLD1,Renewable Power Australia Limited,Rocky Point Cogeneration Plant,Steam Sub-Critical
RRSF1,QLD1,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust ,"Ross River Solar Farm, Units 1-64 ",Photovoltaic Tracking Flat panel
ROYALLA1,NSW1,Royalla Solar Farm Pty Limited,Royalla Solar Farm,Photovoltaic Flat panel
YARWUN_1,QLD1,RTA Yarwun Pty Ltd,Yarwun Power Station,Combined Cycle Gas Turbine (CCGT)
SATGN1,SA1,SA Power Networks,Temporary Generation North,Open Cycle Gas turbines (OCGT)
SATGS1,SA1,SA Power Networks,Temporary Generation South,Open Cycle Gas turbines (OCGT)
SALTCRK1,VIC1,Salt Creek Wind Farm Pty Ltd,Salt Creek Wind Farm,Wind - Onshore
WILGB01,NSW1,Santos NSW (Narrabri Power) Pty Ltd,Wilga Park B,Spark Ignition Reciprocating Engine
WILGAPK,NSW1,Santos NSW (Narrabri Power) Pty Ltd,Wilga Park Power Station,Spark Ignition Reciprocating Engine
SITHE01,NSW1,Smithfield Power Generation Pty Ltd,Smithfield Energy Facility,Combined Cycle Gas Turbine (CCGT)
SITHE04,NSW1,Smithfield Power Generation Pty Ltd,Smithfield Energy Facility,Combined Cycle Gas Turbine (CCGT)
SNOWTWN1,SA1,Snowtown Wind Farm Pty Ltd,Snowtown Wind Farm Units 1 And 47,Wind - Onshore
SNOWSTH1,SA1,Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown South Wind Farm,Wind - Onshore
SNOWNTH1,SA1,Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown Wind Farm Stage 2 North,Wind - Onshore
ANGAST1,SA1,Snowy Hydro Limited,Angaston Power Station,Compression Reciprocating Engine
BLOWERNG,NSW1,Snowy Hydro Limited,Blowering Power Station,Hydro - Gravity
CG1,NSW1,Snowy Hydro Limited,Colongra Power Station,Open Cycle Gas turbines (OCGT)
CG2,NSW1,Snowy Hydro Limited,Colongra Power Station,Open Cycle Gas turbines (OCGT)
CG3,NSW1,Snowy Hydro Limited,Colongra Power Station,Open Cycle Gas turbines (OCGT)
CG4,NSW1,Snowy Hydro Limited,Colongra Power Station,Open Cycle Gas turbines (OCGT)
GUTHEGA,NSW1,Snowy Hydro Limited,Guthega Power Station,Hydro - Gravity
JNDABNE1,NSW1,Snowy Hydro Limited,Jindabyne Small Hydro Power Station,Hydro - Gravity
JOUNAMA1,NSW1,Snowy Hydro Limited,Jounama Small Hydro Power Station,Hydro - Gravity
LNGS1,VIC1,Snowy Hydro Limited,Laverton North Power Station,Open Cycle Gas turbines (OCGT)
LNGS2,VIC1,Snowy Hydro Limited,Laverton North Power Station,Open Cycle Gas turbines (OCGT)
LONSDALE,SA1,Snowy Hydro Limited,Lonsdale Power Station,Compression Reciprocating Engine
MURRAY,VIC1,Snowy Hydro Limited,Murray Power Station,Hydro - Gravity
PTSTAN1,SA1,Snowy Hydro Limited,Pt Stanvac Power Station,Compression Reciprocating Engine
TUMUT3,NSW1,Snowy Hydro Limited,Tumut 3 Power Station,Hydro - Gravity
SNOWYP,NSW1,Snowy Hydro Limited,Tumut 3 Pumps,unspecified
UPPTUMUT,NSW1,Snowy Hydro Limited,Tumut Power Station,Hydro - Gravity
VPGS1,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
VPGS2,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
VPGS3,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
VPGS4,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
VPGS5,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
